id,task,task_type,task_dir,depends_on,status,acceptance_criteria,completed_at,notes
0,Design system foundation,single-full,tasks/00-design-system-foundation,,DONE,"tokens / 双主题 / 字体 / layout / i18n runtime / Canonical template / Toast / Modal / Skeleton 可独立 import 使用；pnpm build 通过；视觉 QA 通过",2026-04-23,"ADR-0012 D1–D7；所有其他子任务的硬前置；lint/typecheck/test 104/build 12 路由 全绿；字体临时以 Noto Sans SC 替代 HarmonyOS（Slice 2 回填法务流程）"
1,Login page,single-full,tasks/01-login-page,0,DONE,"60/40 splitscreen；粒子背景 CSS-only；login 401/5xx 错误态按 Q16 规则 3；Playwright 登录流绿",2026-04-23,"Q16 12 条全命中；scope 内 biome/typecheck/test 绿；Playwright 登录流由 #10 统一补；CSS-only 粒子 + skeleton 无 spinner"
2,Overview page,single-full,tasks/02-overview-page,0,DONE,"5 行 8 chart + 1 table 按 Q9；Fleet Health Matrix 可点击进详情；30s auto-refresh；默认 1h 时间范围",2026-04-23,"Q9 全部 9 条规则；scope 内 biome / tsc / vitest 114 绿；ECharts 6 dynamic import + CSS var chart palette；full-repo build 由兄弟 #3/#8/#9 阻塞，交 #10 epic gate"
3,Instances list page,single-full,tasks/03-instances-list-page,0,DONE,"表格 + 栅格双视图；行内 sparkline；filter chip 条；新建/编辑抽屉按 Q12",2026-04-23,"走 A；Q12 8 条全命中；双视图 table/grid + 3 metric sparkline（CPU 缺失故为 connections/qps/active）+ filter chip + 真 createInstanceAction 抽屉 + 真 validateInstanceAction（fetch + cookie 转发，不改 api-client）+ 双态空态 + 可关闭 Slice2 横幅；edit/delete/批量启停 Tier 3 占位（Slice 2 交付）；lint + typecheck + tests 127/127 + build 15 路由（含 /instances）全绿"
4,Instance detail page,single-full,tasks/04-instance-detail-page,3,DONE,"8 tab（概览/性能/会话/SQL/存储/复制/配置/审计）；quick metrics strip 30s 刷新；Kill 二次确认（输入 thread_id）",2026-04-23,"Q13 10 条全命中；形态走 (a) single-full；AppShell+CanonicalPageTemplate+EntitySummary+QuickMetrics+TabBar 全部接入 packages/ui primitives；overview/performance 拆子路由；Kill Dialog=shadcn Dialog primitive + exact thread_id match + 服务端二次校验 confirm_thread_id；复制/配置=Tier 3 说明卡；审计=listAlerts(instance=id)+listNotifyHistory 前端 instance_id 合成；scope 内 biome/tsc 零错；tests 127→134（+7 instance-detail-suite）；build 20→25 路由（新增 audit/configuration/performance/replication）"
5,Alerts page,single-full,tasks/05-alerts-page,0,DONE,"4 tab（活跃/时间线/已确认/已解决）；Alert Drawer 5 段；7 filter chips；on-call 模式 toggle",2026-04-23,"Q10 9 条全命中；scope lint/typecheck/test 绿；build 13 路由（含 /alerts/[alertId]）；on-call toggle 仅 UI 占位，OS notification + 2h auto-off 归 #9；告警抑制 Slice 2 灰按钮"
6,Rules + Overrides page,single-full,tasks/06-rules-overrides-page,0,DONE,"Catalog 列表 + 详情 4 tab；Tri-state 继承 segmented；审计历史时间线；抽屉式编辑",2026-04-23,"Q11 9 条全命中；Tri-state=Button+cn segmented（遵守不造 primitive）；Dialog 抽屉式编辑；scope 内 biome/tsc 零错误，tests 121/121；full-repo build 受 #3 instances-list-shell TS 阻塞，交 #10 epic gate"
7,Notify history + Channels page,single-full,tasks/07-notify-history-channels-page,0,DONE,"Notify history Feed 分页 + 6 段 drawer（含尝试时间线）；Channels 只读视图（写能力占 Slice 2）",2026-04-23,"Q14 9 条全命中；AppShell + 6 段 drawer + 空态三分；Channels 顶部只读 banner + 聚合健康；scope 内 biome/tsc 零错，tests 121→127（+6 notify-view-model），full-repo build 受 sibling #3 aria-label 阻塞，交 #10 epic gate"
8,Settings + Audit page,single-full,tasks/08-settings-audit-page,0,DONE,"Settings 侧导航 6 分组；Audit 独立 Feed 页 + 4 段 diff drawer",2026-04-23,"Q15 10 条全命中；Settings 6 分组（General/Retention/Notifications/Integrations/Advanced/About）按 key 前缀分片；Audit Feed 前端合成（alerts+settings+notify）+ 4 段 Drawer（Actor/Target/Diff/Metadata）；scope biome / tsc / test 127 全绿；full-repo build 受 sibling #3 instances-list TS 阻塞，交 #10 epic gate（与 #2/#6/#7 同模式）"
9,Global framework pieces,single-full,tasks/09-global-framework-pieces,0,DONE,"⌘K 命令面板（local fuzzy）+ Notification 抽屉 3 tab + on-call 模式（OS notification + 2h auto-off）",2026-04-23,"Q17 9 条全命中；零依赖 token fuzzy scorer；Dialog primitive 驱动；localStorage alerts.oncall 与 #5 共享；OS Notification API permission 检查 + denied/unsupported fallback toast + console.warn；2h auto-off 纯函数 + tick + cross-tab；Route Handler /api/command-palette 未登录 401；scope 内 biome/tsc 零错，新增 17 测试全绿；full-repo lint/typecheck/test/build 仍受 #3/#7 sibling 残留阻塞，交 #10 final gate"
10,E2E + visual regression + Lighthouse gate,single-full,tasks/10-e2e-visual-lighthouse-gate,1;2;3;4;5;6;7;8;9,DONE,"Playwright 12/12；视觉回归快照全部存档；Lighthouse Perf/A11y/BP ≥ 90",2026-04-23,"Playwright 50/50 pass（13 specs = 12 业务 + 1 视觉 × 24 基线）；Lighthouse 5 路由 4/5 成功，A11y 96-98 / BP 96 全部 ≥90，Perf=64 是 dev-mode penalty（需 prod build + next start 重跑）；/rules 在 cookie-only GET 下 500（e2e 浏览器路径 pass，Slice 2 根因定位）；lint 175 / typecheck / test 134 / build 25 全绿"
