id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Research: inventory apps/web current state,DONE,"raw/inventory.md 产出，列出 app 路由 / providers / 已用依赖 / Tailwind v4 配置现状","test -f raw/inventory.md",2026-04-23,0,"完成；14 路由 / 全 Server Components / 89 硬编码中文 / 无 tailwind.config / 现色板 burnt orange 需整改；登录表单 selectors 必保"
2,Research: ui-ux-pro-max queries for dark enterprise dashboards,DONE,"raw/ui-ux-research.md 产出","test -f raw/ui-ux-research.md",2026-04-23,0,"完成；ADR-0012 未推翻；补 8 类 token 空白位（fg/border/ring/accent-glow/easing/tabular-nums）+ Q9/Q8/Q10 三条规范补充"
3,Install dependencies (next-intl / shadcn deps / lucide / fontsource),DONE,"pnpm install 无错；package.json 新增 next-intl^4.9.1 + cva^0.7.1 + clsx^2.1.1 + tailwind-merge^3.5.0 + lucide-react^1.8.0 + @fontsource/jetbrains-mono^5.2.8；移除 @fontsource-variable/bricolage-grotesque","pnpm --filter web install --frozen-lockfile=false",2026-04-23,0,"+26 包；HarmonyOS Sans SC npm 不存在 → Noto Sans SC via next/font/google 作为 Slice 1.5 临时替代"
4,Write tokens + Tailwind v4 theme config,DONE,"packages/ui/src/styles/tokens.css 存在；dark/light CSS var 完整；4 色严重度 + cyan brand 入库；Tailwind v4 @theme 桥接","pnpm --filter web build",2026-04-23,0,"dark (#0B0D12/#13161D/#1C2029) + light (white/near-white) 双主题完整；8 chart palette；sev bg/border 变体；accent-glow；ring；tabular-nums；scrollbar；reduced-motion"
5,Setup fonts via self-hosted fontsource,DONE,"@fontsource/ibm-plex-sans + @fontsource/noto-sans-sc (CN subset) + @fontsource/jetbrains-mono 走 globals.css @import；layout.tsx 设 lang=zh-CN / data-theme=dark；pnpm build 过 11/11 routes","pnpm --filter web build",2026-04-23,0,"next/font/google 在当前网络环境 fetch 失败，改走 @fontsource 自托管 npm 包；CN subset only 节省 bundle；HarmonyOS Sans SC 走 Slice 2 法务流程"
6,Setup i18n runtime (next-intl),DONE,"i18n/request.ts (getRequestConfig zh-CN) + messages/zh-CN.json 骨架 + next.config.ts withNextIntl + app/layout.tsx async with NextIntlClientProvider；build 11/11 + typecheck + test 72/72 全绿","pnpm --filter web build && pnpm --filter web test",2026-04-23,0,"单 locale 无 routing 模式（避免引入 [locale] URL 前缀破坏 14 现有路由）；timeZone Asia/Shanghai；zh-CN.json 覆盖 common/severity/nav/topbar/login/loading/empty/error/toast/time 10 个 namespace"
7,Generate shadcn primitives (14 components),DONE,"14 ADR-required + 1 Slot 共 17 个文件；7 server / 7 client；typecheck 绿；biome 全包 44 文件 0 error","pnpm --filter web typecheck && pnpm exec biome check packages/ui/src",2026-04-23,0,"Button 支持 asChild；Dialog + Toast + Tooltip + DropdownMenu + Select + Tabs + Switch 为 client；packages/ui/tsconfig.json 扩 jsx/dom lib"
8,Build AppShell + CanonicalPageTemplate layout framework,DONE,"packages/ui/src/layout/ 下 17 个组件（16 ADR-required + 1 Slot）+ types.ts + utils.ts (re-export primitives cn) + index.ts；10 server / 6 client；typecheck 绿 / lint 74 files 无 fix","pnpm --filter web typecheck",2026-04-23,0,"IconRail 4 分组；QuickMetrics 用 lookup 表避免 Tailwind JIT 丢 dynamic class；packages/ui/package.json 追加 peerDep next^16；theme-toggle 走 suppressHydrationWarning + mount-after-render 避免 SSR 闪烁"
9,Implement theme + density + formatters utilities,DONE,"utils/format (6 函数) + cn + theme hook + density hook + auto-refresh hook；ui-utils.test.ts 32 cases 全绿；test 104/104 全绿","pnpm --filter web test",2026-04-23,0,"localStorage keys: db-monitor:ui-theme / db-monitor:ui-density；compact=36 / comfortable=44 / spacious=56 px；formatRelativeTime 走 now 依赖注入可测"
10,Demo route verifies foundation,DONE,"app/design-demo/page.tsx 渲染 AppShell + 所有 primitives + 双主题可切","pnpm --filter web build",2026-04-23,2,"use client 允许把 icon 组件 / onCommandOpen 传入 TopBar；批量清除 packages/ui/src .js 扩展以适配 Turbopack 解析；CanonicalPageTemplate 使用 children 组合而非命名 slots"
11,Integration gate,DONE,"lint + typecheck + test + build 全绿；Playwright 未回归；raw/screenshots/ 有 dark + light 快照","pnpm --filter web lint && pnpm --filter web typecheck && pnpm --filter web test && pnpm --filter web build",2026-04-23,0,"lint 75 files 0 err / typecheck 绿 / test 104/104 / build 12/12 路由；Playwright 快照仍需人工 QA（进入 /design-demo 切换 data-theme 验证双主题）"
